"cases","event","completeTime"
"Offer_247135719","O_Create Offer","2016/01/02 10:17:05.720"
"Offer_247135719","O_Created","2016/01/02 10:17:08.762"
"Offer_247135719","O_Sent (online only)","2016/01/02 10:19:21.330"
"Offer_247135719","O_Cancelled","2016/01/02 10:21:26.034"
"Offer_941964966","O_Create Offer","2016/01/02 10:21:42.022"
"Offer_941964966","O_Created","2016/01/02 10:21:43.573"
"Offer_941964966","O_Sent (mail and online)","2016/01/02 10:22:09.421"
"Offer_1148420274","O_Create Offer","2016/01/02 10:26:43.598"
"Offer_1148420274","O_Created","2016/01/02 10:26:44.925"
"Offer_1148420274","O_Sent (mail and online)","2016/01/02 10:26:57.389"
"Offer_1365106765","O_Create Offer","2016/01/02 10:55:46.369"
"Offer_1365106765","O_Created","2016/01/02 10:55:47.693"
"Offer_1365106765","O_Sent (mail and online)","2016/01/02 10:59:50.268"
"Offer_1365106765","O_Returned","2016/01/08 11:00:24.474"
"Offer_1365106765","O_Accepted","2016/01/11 10:42:07.001"
"Offer_1207095934","O_Create Offer","2016/01/02 11:35:08.906"
"Offer_1207095934","O_Created","2016/01/02 11:35:10.063"
"Offer_1207095934","O_Sent (mail and online)","2016/01/02 11:37:43.723"
"Offer_1207095934","O_Cancelled","2016/01/27 10:56:56.971"
"Offer_1015515944","O_Create Offer","2016/01/02 11:35:27.467"
"Offer_1015515944","O_Created","2016/01/02 11:35:28.752"
"Offer_1015515944","O_Sent (mail and online)","2016/01/02 11:37:43.721"
"Offer_1015515944","O_Returned","2016/01/21 14:36:43.258"
"Offer_1015515944","O_Accepted","2016/01/27 10:56:56.941"
"Offer_1669071500","O_Create Offer","2016/01/02 12:02:38.994"
"Offer_1669071500","O_Created","2016/01/02 12:02:40.442"
"Offer_1669071500","O_Sent (mail and online)","2016/01/02 12:03:05.300"
"Offer_1669071500","O_Refused","2016/01/07 14:29:49.710"
"Offer_1209840642","O_Create Offer","2016/01/02 12:05:15.942"
"Offer_1209840642","O_Created","2016/01/02 12:05:17.204"
"Offer_1209840642","O_Sent (mail and online)","2016/01/02 12:06:53.268"
"Offer_1209840642","O_Cancelled","2016/01/02 12:26:06.088"
"Offer_997411923","O_Create Offer","2016/01/02 12:25:44.202"
"Offer_997411923","O_Created","2016/01/02 12:25:45.416"
"Offer_997411923","O_Sent (mail and online)","2016/01/02 12:26:19.140"
"Offer_997411923","O_Returned","2016/01/13 10:08:14.217"
"Offer_997411923","O_Accepted","2016/01/14 08:00:14.440"
"Offer_148581083","O_Create Offer","2016/01/02 12:29:03.994"
"Offer_148581083","O_Created","2016/01/02 12:29:05.354"
"Offer_148581083","O_Sent (mail and online)","2016/01/02 12:30:28.606"
"Offer_148581083","O_Returned","2016/01/13 14:11:03.569"
"Offer_148581083","O_Accepted","2016/01/14 16:49:11.416"
"Offer_607758096","O_Create Offer","2016/01/02 12:42:23.751"
"Offer_607758096","O_Created","2016/01/02 12:42:25.106"
"Offer_607758096","O_Sent (mail and online)","2016/01/02 12:43:56.242"
"Offer_213805292","O_Create Offer","2016/01/02 12:43:26.149"
"Offer_213805292","O_Created","2016/01/02 12:43:27.409"
"Offer_213805292","O_Sent (mail and online)","2016/01/02 12:45:11.161"
"Offer_1215355195","O_Create Offer","2016/01/02 12:48:58.028"
"Offer_1215355195","O_Created","2016/01/02 12:48:59.193"
"Offer_1215355195","O_Cancelled","2016/01/02 13:42:59.321"
"Offer_1236377933","O_Create Offer","2016/01/02 13:31:00.150"
"Offer_1236377933","O_Created","2016/01/02 13:31:01.388"
"Offer_1236377933","O_Sent (mail and online)","2016/01/02 13:31:11.640"
"Offer_1236377933","O_Returned","2016/01/11 09:44:39.240"
"Offer_1236377933","O_Accepted","2016/01/12 13:13:45.145"
"Offer_1560716493","O_Create Offer","2016/01/02 13:50:23.006"
"Offer_1560716493","O_Created","2016/01/02 13:50:24.284"
"Offer_1560716493","O_Sent (mail and online)","2016/01/02 13:50:37.195"
"Offer_1560716493","O_Cancelled","2016/01/02 14:41:43.962"
"Offer_868206108","O_Create Offer","2016/01/02 14:38:07.682"
